group,conditional_cat,demo_cat,property_offense,drug_offense,violent_offense,times_arrested,demo_var,conditional_var
Male,0.0,3,1.9000446061578549,2.0584165325627595,1.581545784198988,7.756543030555139,age,mental_illness
Male,0.0,4,2.3252036585560987,2.1945920180578598,1.5037235266725248,8.167948758182746,age,mental_illness
Male,0.0,5,2.2303877111288855,2.0472742755763735,1.5799208472460546,6.7597502561176865,age,mental_illness
Male,0.0,6,2.4260193417269407,2.6416126575896204,1.7229533801129844,5.44298498057028,age,mental_illness
Male,1.0,1,1.6592919225889875,1.6615889412515121,1.7153325911896442,6.658881585178023,age,mental_illness
Male,1.0,2,2.3977285106258446,2.060151001410478,1.4731390539108362,9.186946100229104,age,mental_illness
Male,1.0,3,2.000392797012733,2.2877057814952315,1.760477432816248,13.315446135081158,age,mental_illness
Male,1.0,4,2.7913932879683823,2.8064350238983193,1.5254833990282395,9.792012178701102,age,mental_illness
Male,1.0,5,2.702334461343895,1.4513995312279975,1.763247535625017,7.685579317025291,age,mental_illness
Male,1.0,6,1.5682843728297966,1.4157007228203942,1.4664671412289405,4.6732890566925205,age,mental_illness
Male,2.0,1,7.013257811874441,1.9943405053685623,1.9039846198853108,8.380017359977725,age,mental_illness
Male,2.0,2,2.367459266398525,2.1982049185886723,2.0696047745747004,12.410014040695595,age,mental_illness
Male,2.0,3,2.7498155896282275,2.6725189505206193,1.9125893226568491,13.365637491401122,age,mental_illness
Male,2.0,4,2.733969542937887,2.5346582119241616,1.9472644943684159,11.922951104882932,age,mental_illness
Male,2.0,5,3.191490446648029,2.63657748968881,1.7581429404525388,11.828642236866404,age,mental_illness
Male,2.0,6,5.1991237380623305,2.2186212071803233,1.8466864573128656,8.70270434050284,age,mental_illness
All,0.0,1,1.9476600091107665,1.5239872294263823,1.4577550172185458,5.21634127713742,age,mental_illness
All,0.0,2,1.7861265177970822,1.7945247619593907,1.4408218168927494,7.023054274746038,age,mental_illness
All,0.0,3,1.8929921519127129,2.0384667660351403,1.5697063536667795,7.6582202279313965,age,mental_illness
All,0.0,4,2.2959340045859835,2.176146531003162,1.4985023086899927,8.061021716920063,age,mental_illness
All,0.0,5,2.204842781261569,2.0220982114618966,1.580266592165388,6.63754574270381,age,mental_illness
All,0.0,6,2.3679805168638017,2.5919593786420627,1.7066892417518496,5.37473612108022,age,mental_illness
All,1.0,1,1.6430212262803496,1.6609103453684662,1.6912918835230606,6.665747886756801,age,mental_illness
All,1.0,2,2.3455544390948266,2.034451624115913,1.4624904446818932,9.006178012638186,age,mental_illness
All,1.0,3,1.997063065673683,2.2490322040596546,1.7319582831363043,12.744801466533923,age,mental_illness
All,1.0,4,2.665566162463992,2.7076480434299848,1.5046601900740801,9.476211677949559,age,mental_illness
All,1.0,5,2.6525452747085727,1.474518186319526,1.7344249665563054,7.428446514366236,age,mental_illness
All,1.0,6,1.5493684139788222,1.4126399755786143,1.4520234412118969,4.580575573656594,age,mental_illness
All,2.0,1,6.526154205606695,1.9815137534131282,1.8518724233506683,8.099284420707939,age,mental_illness
All,2.0,2,2.33214839958086,2.1501218951365946,2.0110412433616003,11.858830631280917,age,mental_illness
