gender,property_offense,drug_offense,violent_offense,times_arrested,cat
Female,1.8980020637949797,2.015030856899915,1.2989139545937567,7.132162654292767,High School Graduate
Female,2.0668269330333104,1.9881728049002267,1.3983142067997174,9.022438216731063,Less than Highschool
Female,2.0974774033154646,1.7701840350032059,1.190108722816414,6.632835122931429,Some college
Male,2.3819260146023966,2.1033889219393735,1.5115988082634209,7.770162031278886,High School Graduate
Male,2.5519140687196558,2.1264649433722598,1.782927591273543,9.974934947773686,Less than Highschool
Male,2.198611238713659,2.305741522435289,1.4084132875198698,7.517576664816921,Some college
Female,1.9830404041290848,1.9354080929447979,1.3219142125104262,7.764135849335911,All Inmates
Male,2.4525922377390006,2.1259468981274305,1.6610232143350012,8.988395611391125,All Inmates
