gender,mental_illness,property_offense,drug_offense,violent_offense,times_arrested,demo,var
Female,0,1.0246267816300156,1.055727353744316,1.6133163943778384,8.894374543860566,American Indian,race
Female,0,0.4952425710199821,2.5185284460967132,1.1018099862123683,2.433906124936126,Asian,race
Female,0,1.7458280536539703,1.6217953264174791,1.3670766538758583,4.856911747796004,Black,race
Female,0,1.6120269080596994,1.3413909246104656,1.1025297868694972,3.852232158390285,Hispanic,race
Female,0,1.8529709523237727,1.5146811447833572,1.700548604240079,7.15153587989835,Other,race
Female,0,1.085155099152656,11.831542456632281,0.6698876828826187,12.132348198312513,Unknown,race
Female,0,1.514331113438844,1.6609641945954068,1.0861890621951293,5.31835440351758,White,race
Female,1,1.5451228937154038,2.9068137970533705,1.262167080278153,6.797314474152488,American Indian,race
Female,1,0.8762089263728172,0.15936733957703086,1.0,2.7967730062499148,Asian,race
Female,1,1.673685090172448,1.7836318023512139,1.2846153782736491,5.062813181723057,Black,race
Female,1,1.732943794291289,1.716532749250333,1.335303313369854,7.764301281401134,Hispanic,race
Female,1,1.4367168420247085,1.7778928938046397,1.1450056148242274,6.900193148366226,Other,race
Female,1,0.8164561199380325,1.0,1.3190998844342803,2.1067696908566678,Unknown,race
Female,1,1.7767610268894858,1.861392716259775,1.094219111881317,6.694237515007566,White,race
Female,2,1.7609901781972517,1.918658974354042,1.7187795634793062,11.549422808476352,American Indian,race
Female,2,2.4050679091907585,1.1115324176002717,1.0,9.34815835631594,Asian,race
Female,2,2.8266624799309605,2.0226461299511898,1.6187512759165748,10.158823703172038,Black,race
Female,2,2.4280900401366226,2.0288044059056394,1.4562483229739247,10.30028930690081,Hispanic,race
Female,2,2.1572639556294786,2.3736648957392945,1.371177499684982,10.508925991466539,Other,race
Female,2,2.240796914040887,2.093578302145293,1.1636493776419266,9.59807045532757,Unknown,race
Female,2,2.256217246028944,2.0814634638774896,1.2835635846977385,9.791046392603082,White,race
Male,0,2.487395480407679,1.6846898236296444,1.6262807905623906,9.04509974302492,American Indian,race
Male,0,1.5343140996090172,1.4227288659671413,1.502536491046126,12.533865697883952,Asian,race
Male,0,1.8668970019237547,2.1329033305120166,1.5756729514006524,7.745451186388877,Black,race
Male,0,1.9874192282161964,1.7818851833629035,1.497639918685149,5.803392661009512,Hispanic,race
Male,0,2.2389355076907553,2.391309192655343,1.5555576633017474,8.178276439428661,Other,race
Male,0,2.293203601126106,1.8674606923409962,1.6660303475245248,7.893529582006441,Unknown,race
Male,0,2.2123704153243238,1.8671284698597128,1.4269787102913862,7.376131445021244,White,race
Male,1,2.816876346159711,3.242234085452664,1.9591354354372539,10.997758239000689,American Indian,race
